Tamaño de paso,X inicial Gradiente,Y inicial Gradiente,X final Gradiente,Y final Gradiente,Valor final Gradiente,Iteraciones Gradiente
0.001,-20,60,-4.15120176739344,-2109193506256.9722,9.895453597005684e+48,4
0.001,-20,70,-4.15120176739344,-200215364060510.25,8.034513947662454e+56,4
0.001,-20,80,-4.23263676596875,1674685.641513624,3.932812045657241e+24,3
0.001,-20,90,-4.23263676596875,5102703.557121582,3.389778796513728e+26,3
0.001,-20,100,-4.23263676596875,13681498.455277592,1.7518812614364865e+28,3
0.001,-10,-100,-7.20792391796875,-13681390.347680788,1.7518258904757967e+28,3
0.001,-10,-90,-7.20792391796875,-5102647.5426145755,3.3896299548971134e+26,3
0.001,-10,-80,-7.20792391796875,-1674658.989963672,3.93256169888885e+24,3
0.001,-10,-70,-6.576787331754026,200200705158382.1,8.03216119676164e+56,4
0.001,-10,-60,-6.576787331754026,2108937396507.3953,9.89064823310568e+48,4
0.001,-10,-50,-6.576787331754026,7601273044.929015,1.6692267531979668e+39,4
0.001,-10,-40,-6.576787331754026,3854166.1860699463,1.1032952586523657e+26,4
0.001,-10,-30,-2.9416896113151987,-2.864122383960878,-78.28032966366393,100
0.001,-10,-20,-2.9416896113151987,-2.928032126805943,-78.29637073439343,100
0.001,-10,-10,-2.9416896113151987,-2.9416896113151987,-78.28133644064854,100
0.001,-10,0,-2.9416896113151987,-0.5996323440811666,-43.451579346505405,100
0.001,-10,10,-2.9416896113151987,2.8086540775187716,-64.11282110739432,100
0.001,-10,20,-2.9416896113151987,2.7895022503716413,-64.14300273655113,100
0.001,-10,30,-2.9416896113151987,2.697256604253577,-64.13485425319172,100
0.001,-10,40,-6.576787331754026,-3856200.426050375,1.1056263930326894e+26,4
0.001,-10,50,-6.576787331754026,-7602997937.783982,1.6707424032596097e+39,4
0.001,-10,60,-6.576787331754026,-2109193506256.9722,9.895453597005684e+48,4
0.001,-10,70,-6.576787331754026,-200215364060510.25,8.034513947662454e+56,4
0.001,-10,80,-7.20792391796875,1674685.641513624,3.932812045657241e+24,3
0.001,-10,90,-7.20792391796875,5102703.557121582,3.389778796513728e+26,3
0.001,-10,100,-7.20792391796875,13681498.455277592,1.7518812614364865e+28,3
0.001,0,-100,-0.00503999996875,-13681390.347680788,1.7518258904757967e+28,3
0.001,0,-90,-0.00503999996875,-5102647.5426145755,3.3896299548971134e+26,3
0.001,0,-80,-0.00503999996875,-1674658.989963672,3.93256169888885e+24,3
0.001,0,-70,-0.007620639712201877,200200705158382.1,8.03216119676164e+56,4
0.001,0,-60,-0.007620639712201877,2108937396507.3953,9.89064823310568e+48,4
0.001,0,-50,-0.007620639712201877,7601273044.929015,1.6692267531979668e+39,4
0.001,0,-40,-0.007620639712201877,3854166.1860699463,1.1032952586523657e+26,4
0.001,0,-30,-0.5996323440811666,-2.864122383960878,-43.45057256952079,100
0.001,0,-20,-0.5996323440811666,-2.928032126805943,-43.4666136402503,100
0.001,0,-10,-0.5996323440811666,-2.9416896113151987,-43.451579346505405,100
0.001,0,0,-0.5996323440811666,-0.5996323440811666,-8.621822252362263,100
0.001,0,10,-0.5996323440811666,2.8086540775187716,-29.283064013251188,100
0.001,0,20,-0.5996323440811666,2.7895022503716413,-29.313245642407985,100
0.001,0,30,-0.5996323440811666,2.697256604253577,-29.30509715904858,100
0.001,0,40,-0.007620639712201877,-3856200.426050375,1.1056263930326894e+26,4
0.001,0,50,-0.007620639712201877,-7602997937.783982,1.6707424032596097e+39,4
0.001,0,60,-0.007620639712201877,-2109193506256.9722,9.895453597005684e+48,4
0.001,0,70,-0.007620639712201877,-200215364060510.25,8.034513947662454e+56,4
0.001,0,80,-0.00503999996875,1674685.641513624,3.932812045657241e+24,3
0.001,0,90,-0.00503999996875,5102703.557121582,3.389778796513728e+26,3
0.001,0,100,-0.00503999996875,13681498.455277592,1.7518812614364865e+28,3
0.001,10,-100,7.19984148603125,-13681390.347680788,1.7518258904757967e+28,3
0.001,10,-90,7.19984148603125,-5102647.5426145755,3.3896299548971134e+26,3
0.001,10,-80,7.19984148603125,-1674658.989963672,3.93256169888885e+24,3
0.001,10,-70,6.566092252907126,200200705158382.1,8.03216119676164e+56,4
0.001,10,-60,6.566092252907126,2108937396507.3953,9.89064823310568e+48,4
0.001,10,-50,6.566092252907126,7601273044.929015,1.6692267531979668e+39,4
0.001,10,-40,6.566092252907126,3854166.1860699463,1.1032952586523657e+26,4
0.001,10,-30,2.8086540775187716,-2.864122383960878,-64.11181433040971,100
0.001,10,-20,2.8086540775187716,-2.928032126805943,-64.12785540113923,100
0.001,10,-10,2.8086540775187716,-2.9416896113151987,-64.11282110739432,100
0.001,10,0,2.8086540775187716,-0.5996323440811666,-29.283064013251188,100
0.001,10,10,2.8086540775187716,2.8086540775187716,-49.94430577414011,100
0.001,10,20,2.8086540775187716,2.7895022503716413,-49.974487403296905,100
0.001,10,30,2.8086540775187716,2.697256604253577,-49.9663389199375,100
0.001,10,40,6.566092252907126,-3856200.426050375,1.1056263930326894e+26,4
0.001,10,50,6.566092252907126,-7602997937.783982,1.6707424032596097e+39,4
0.001,10,60,6.566092252907126,-2109193506256.9722,9.895453597005684e+48,4
0.001,10,70,6.566092252907126,-200215364060510.25,8.034513947662454e+56,4
0.001,10,80,7.19984148603125,1674685.641513624,3.932812045657241e+24,3
0.001,10,90,7.19984148603125,5102703.557121582,3.389778796513728e+26,3
0.001,10,100,7.19984148603125,13681498.455277592,1.7518812614364865e+28,3
0.001,20,-100,4.223116638031249,-13681390.347680788,1.7518258904757967e+28,3
0.001,20,-90,4.223116638031249,-5102647.5426145755,3.3896299548971134e+26,3
0.001,20,-80,4.223116638031249,-1674658.989963672,3.93256169888885e+24,3
0.001,20,-70,4.137550348214795,200200705158382.1,8.03216119676164e+56,4
0.001,20,-60,4.137550348214795,2108937396507.3953,9.89064823310568e+48,4
0.001,20,-50,4.137550348214795,7601273044.929015,1.6692267531979668e+39,4
0.001,20,-40,4.137550348214795,3854166.1860699463,1.1032952586523657e+26,4
0.001,20,-30,2.7895022503716413,-2.864122383960878,-64.14199595956651,100
0.001,20,-20,2.7895022503716413,-2.928032126805943,-64.15803703029601,100
0.001,20,-10,2.7895022503716413,-2.9416896113151987,-64.14300273655113,100
0.001,20,0,2.7895022503716413,-0.5996323440811666,-29.313245642407985,100
0.001,20,10,2.7895022503716413,2.8086540775187716,-49.974487403296905,100
0.001,20,20,2.7895022503716413,2.7895022503716413,-50.004669032453705,100
0.001,20,30,2.7895022503716413,2.697256604253577,-49.9965205490943,100
0.001,20,40,4.137550348214795,-3856200.426050375,1.1056263930326894e+26,4
0.001,20,50,4.137550348214795,-7602997937.783982,1.6707424032596097e+39,4
0.001,20,60,4.137550348214795,-2109193506256.9722,9.895453597005684e+48,4
0.001,20,70,4.137550348214795,-200215364060510.25,8.034513947662454e+56,4
0.001,20,80,4.223116638031249,1674685.641513624,3.932812045657241e+24,3
0.001,20,90,4.223116638031249,5102703.557121582,3.389778796513728e+26,3
0.001,20,100,4.223116638031249,13681498.455277592,1.7518812614364865e+28,3
0.001,30,-100,2.1290151540312507,-13681390.347680788,1.7518258904757967e+28,3
0.001,30,-90,2.1290151540312507,-5102647.5426145755,3.3896299548971134e+26,3
0.001,30,-80,2.1290151540312507,-1674658.989963672,3.93256169888885e+24,3
0.001,30,-70,2.141278998988117,200200705158382.1,8.03216119676164e+56,4
0.001,30,-60,2.141278998988117,2108937396507.3953,9.89064823310568e+48,4
0.001,30,-50,2.141278998988117,7601273044.929015,1.6692267531979668e+39,4
0.001,30,-40,2.141278998988117,3854166.1860699463,1.1032952586523657e+26,4
0.001,30,-30,2.697256604253577,-2.864122383960878,-64.13384747620711,100
0.001,30,-20,2.697256604253577,-2.928032126805943,-64.14988854693661,100
